Sentiment--|||--URL--|||--Text
-1--|||--kinopoisk.ru/user/72383/comment/846161/--|||--На самых первых титрах у меня появилось абсолютно твёрдое и непоколебимое ощущение, что я смотрю совершено детский фильм, в духе «Детей шпионов», иначе как объяснить наличие в начальных титрах техно-музыки и огромнейшего, просто колоссальнейшего наличия компьютерной графики, уровня приставок фирмы Sega. Если кто из вас по детству удосужился сыграть в видео-игру по мотивам мультфильма «Король-лев», адаптированную специально для этого платформера, тот прекрасно меня поймёт. Для полноты картины не хватает только мангуста Димона, который выдал бы в камеру памятное «It starts!». Хотя в данном фильме фильму бы куда уж больше подошло «It sucks!». Вот так сидишь и неволей думаешь, что попал на фильм, адресованный поколению ясельной группы детского сада, так как сюжет по большему счёту не отличается от тех же «Телепузиков» ни на йоту. Скажите, разве такого скрещивания двух культовых киноманьяков мы хотели? Ерунда! Нам нужен был злой, находчивый, брутальный гений Фредди Крюгера, такой, каким он запомнился именно по первому, культовому фильму «Кошмар на улице вязов», нам нужен был абсолютно другой Джейсон Вурхиз, который бы имел смекалку, хитрость и жестокость, ведь именно таким он был в предыдущих частях сериала, и те, кто уверен, что Джейсон из «ФпД» абсолютно точно соответствует своему классическому образу, либо не смотрел старые «Пятницы-13», либо имеет очень серьёзные проблемы со зрением. Вот бы было хорошо, если бы создатель первого «Кошмара» и первой «Пятницы», вновь, как в старые добрые времена объединили свои усилия... И позвали бы режиссировать картину действительно толкового хоррормейкера, вроде Нила Маршала или Александра Аджи, а не какого-то косоглазого сексуального извращенца, очевидно сбежавшего из поликлиники для буйнопомешанных, и прихватившего с собой целую кучу приятелей, которым впоследствии и достались главные роли в фильме. Кстати, насчёт извращенческой наклонности режиссёра: я, конечно же, не хочу ни на кого клеветать, но что-то в фильме подозрительно много любящих обнажаться мужских персонажей: одного в ванной во всей «красе» показали, другой минуты 2 пятую точку сочно в камеру совал. А вот раздевающихся девчонок в фильме и нет. Вернее, одна из них хоть и скинет одежду в самом начале, но только Ронни Ю изо всех сил старался, как можно меньше эту героиню в неглиже демонстрировать. Очевидно, испугался. Очень испугался. Далее, о спецэффектах: где, собственно, они? Где заявленные 35 миллионов долларов бюджета? Грим и механические эффекты выполнены практически на уровне 50-ых, когда в моде было нашествие всякого рода трэшевых инопланетян. Зато очень. Действительно очень много вышеупомянутой компьютерной графики. В этом плане «Фредди против Джейсона» перещеголял даже обе части «Игрушечной истории». Усугубляет положение совсем уж бредовая концовка, в которой мы имеем возможность созерцать ляпы, вроде новенького баллона с пропаном, каким-то непонятным образом попавшего в заброшенный более 20-ти лет назад горный лагерь у озера. Ну и финальный выстрел промеж глаз: эпизод, в котором Джейсон швыряет якобы Фредди в сторону одного из заброшенных домиков. В нём отчетливейше видно, что не Фредди это никакой, а манекен, набитый ватой. 
1--|||--kinopoisk.ru/user/697175/comment/805374/--|||--Вы знаете, неожиданно хороший фильм. Я не большой любитель фильмов такого жанра, но этот мне очень понравился, совсем не ожидала. Придраться, как бы сильно ни хотелось это сделать, не к чему: Сюжет необычный, непривычный, оригинальный и оторваться от просмотра практически невозможно. Весь фильм проходит в движении: вечно что-то случается, открываются какие-то тайны, всевозможные неожиданные повороты и напряженные моменты. Как я уже сказала, если начнете смотреть этот фильм, остановиться уже не сможете. Я, к примеру, просто не смогла оторваться, практически прилипла к экрану. Персонажи - замечательные, конечно же, не без помощи актеров, которых подобрали как нельзя лучше: Ким Бейсингер  просто шикарна... впрочем, как и всегда. Хотя видеть её в роли жертвы было очень непривычно,.. но всё равно здорово. Крис Эванс  - просто красавец, во всех смыслах этого слова! Выглядит отлично, играет ещё лучше. Он буквально покорил моё сердце. Настоящее открытие! Джейсон Стэтхэм  наконец-то не в главной роли! Хотя, должна признаться, роль злодея ему очень к лицу. Больше ничего раскрывать не буду. В общем, если вы сомневаетесь - смотреть или нет, то вам мой совет: обязательно посмотрите, фильм на самом деле весьма достойный. Спасибо за внимание и приятного просмотра! 
1--|||--kinopoisk.ru/user/1335875/comment/2079675/--|||--Да, этот фильм такой, что всё, что там покажут, можно было угадать заочно. Достаточно было посмотреть на постер и прочесть название. Однако решил ввязаться в просмотр. В принципе, могу сказать, что не жалею времени, потраченного на это кино. Хоть это и не выдающаяся картина, было увлекательно посмотреть на приятных глазу актёров, а временами даже смешно. Это мелодрама с элементами комедии. Или любовная комедия. Или комедия с девичьим уклоном. Однако, думаю, и парням будет посмотреть что. В дебюте так вообще главные герои занимаются сексом везде и в каждом месте, словно слетевшие с катушек. Эштон Кутчер для меня актёр, который никак как профессионал не может сформироваться в моём сознании. Часто из-за него картины номинируются на Золотую малину... Конечно, «Эффект бабочки» всякий раз заставляет смотреть на него другими глазами. И вот, наконец, возможно из-за него фильм номинировался в категории «лучшая комедийна роль». Может быть из-за него. Во всяком случае, его коллега по цеху другой направленности актриса. А все юморные запилы его рук дело. В большинстве своём. Я предполагаю. Натали Портман. Был момент, когда в середине (чуточку ближе ко второй половине всё же) фильм здорово провис. Даже захотелось выключить. Нахлынуло разочарование. И вот тут я себя поймал на мысли, что спасает-то положение просто Натали Портман. Даже не столь игрой, сколько своей красивой наружностью!.. Приятно было глазу смотреть на такую красавицу! Да, я упомянул, что фильм стал терять свой шарм. Причём здорово. Правда, ближе к концу всё снова наладилось. Но я сделал вывод, что это было сделано нарочито. Это таков сюжет. Не фильм несуразный, несуразны действия, которые делали главные герои. И тут я уяснил, мы все в жизни делаем глупые поступки, просто никто не вставит нам своего ума. А тут смотришь и понимаешь всё. Думаю, фильм заслуживает положительной критики. Фильмы про любовь всегда будут мейнстримом... 
1--|||--kinopoisk.ru/user/457051/comment/567227/--|||--- Брайан, ты не можешь бегать по Парижу и разрушать всё подряд. - Жак Клод, я разрушу даже Эйфелеву башню, если понадобится. Картина повествует о шпионе-отставнике Брайане Милсе (Лайам Нисон), перебравшимся в Лос-Анджелес, дабы быть поближе к 17-летней дочери, большую часть взросления которой он пропустил «из-за работы». И вот эта самая дочь заявляет папе, что летит на школьные каникулы в Париж. И действительно летит, несмотря на тщетные отговоры отца. Прилетает, похищается злыми дядями (довольно оперативно); папаша выясняет через свои связи, что собственно времени у него не потерять дочь в конец 96 часов и, вдохнув поглубже, летит на выручку незадачливому чаду... Пьеру Морелю крупно повезло. Дело в том, фильмов со схожим сюжетным скелетом - вагон и полная тележка. Картину француза резко выделяет из этой массы химия в кадре, имя ей - Лайам Нисон. Ему мой первый глубокий поклон - убедителен с первого кадра и до финальных титров! Именно Нисон оживляет всё пространство картины своей ярчайшей харизмой. И вот вы уже не сомневаетесь, что дочь и правда похитили и папа за это надаёт всем по первое число. Кто бы мог подумать что актёр (даже столь мастеровитый, как Нисон) может вот так развернуться на ниве боевика. Великолепный отец, потрясающий шпион, беспощадный убийца - мужик хорош донельзя! И, слава Богу, режиссёр смекнул это отчётливо и всё внимание сконцентрировал на его персонаже, за что Морелю гранд мерси: наблюдать за игрой Нисона - одно удовольствие. Второй реверанс сюжету. Вы скажете - избито, вторично, я вам отвечу - в этом и вся прелесть! Зритель великодушно избавлен от необходимости что-либо анализировать или о чём-либо гадать, ибо экшн в этой картине настолько стремителен и ураганен, что вкрапление какой-либо информации к размышлению просто отвлекало бы от феерии на экране. Поверьте мне, соло разгневанного отца столь впечатляюще и эффектно подано, что любой намёк создателей на аналитику вызвал бы у вас желание отмахнуться, как от назойливой мухи во время вкусного обеда, и лишь подпортил бы общее впечатление от просмотра. Рассказывать вам, какими методами главгерой создает это неизгладимое впечатление бессмысленно - это надо видеть. Видеть, восторгаться, рассказывать окружающим, пересматривать и смаковать... Чего я вам искренне желаю. 
1--|||--kinopoisk.ru/user/1287480/comment/1157879/--|||--Режиссёрская карьера тогда ещё неопытного 31-летнего Томаса Яна началась со встречи с Тилем Швайгером в книжном магазине Кёльна, с которым он начал разрабатывать сценарий будущого проекта. Интересно, что определенную помощь режисеру предоставил сам Квентин Тарантино, который консультировал Яна в некоторых аспектах создания картины. Ян дебютировал в режиссерском амплуа картиной «Достучаться до небес», которая влюбила в себя зрителей по всему миру, и вскоре завоевала статус культового фильма. Однако, к сожалению, успех этого фильма Томас Ян не смог повторить, и последующие фильмы режиссера в основном терпели неудачу, из-за чего позднее он сосредоточился на постановке рекламных роликов. Мне этот фильм понравился, и вовсе не по причине его широкого успеха. Картина действительно хорошая, причем поставлена она очень ярко и оригинально. Несмотря на некоторое смешение жанров драмы, комедии и криминального боевика, фильм не распадается на отдельные части, а смотрится очень динамично и интересно. Причем учитывая, что картину можно охарактеризовать как трагикомедию, сентиментальных моментов там, в меру, да и смотрятся они ненавязчиво. Режиссер не акцентирует на них внимание, вытягивая слезу, а побуждает зрителя задуматься, что является проявлением мастерства постановщика. Главные роли персонажей Мартина Бреста и Руди Вурлицера (кстати имена этим героям были даны в честь режиссера Мартина Бреста и сценариста Руди Вурлицера соответственно) сыграли Ян Йозеф Лиферс и Тиль Швайгер, который выступил в этом фильме кроме того в роли сценариста и продюсера. Их персонажи по характеру прямо противоположны друг другу - слегка обезбашенный Брест, и спокойный флегматичный Руди. Каждый из них сыгран хорошо, и вместе они составляют удачный актерский тандем. Кроме того картина наполнена колоритными второстепенными персонажами. Вне конкуренции, конечно, парочка бандитов Хэнк и Абдул в исполнении Морица Бляйбтроя и Тьерри Ван Вервеке, одетые как Винсент и Джулс из «Криминального чтива». Особенно их диалоги уморительны благодаря персонажу Абдулы, который плохо знает немецкий и постоянно ошибается с произношением. Кроме них в фильме есть еще несколько ярких персонажей, но особенно эффектным выглядело появление в самом конце картины Рутгера Хауэра. Стоит ли смотреть этот фильм? На мой взгляд, однозначно стоит, потому что «Достучаться до небес» выгодно выделяется на фоне большинства голливудских фильмов. Хотя основные идеи сюжета уже обыгрывались в некоторых фильмах предыдущих лет, картина очень оригинальна и самодостаточна. А уж как прям таки Тарантиновский драйв повествования временами сменяется драматичными эпизодами - это сделано просто замечательно. Оценки по пятибалльной шкале Зрелищность 		4+ Актерская игра 4+ Режиссерская работа 4+ Сценарий 4+ Кратко о фильме здорово Нужно ли смотреть да
1--|||--kinopoisk.ru/user/3283384/comment/2061836/--|||--Продолжение мультфильма про симбиоз викингов и драконов не вдохновляет на какие-то действия и не заставляет переосмыслить мир, нет, «Приручить дракона» - это все равно, что хорошо провести время с другом: время пролетит незаметно, а после останутся только хорошие воспоминания. Герояем во второй раз придется пройти через огонь, а теперь еще и через громадные льдины, жаль без песен, так бы и до успеха «Холодного сердца» рукой подать. Конечно, во многом уступая первой части (однако 80 % сиквелов постигает та же участь!), эта история противопоставляет добру - человека, а не самих драконов, как это было ранее. Так что во многом приручить и усмирить придется врага, не без помощи посторонних. Икинг и его компания якобы помогающих друзей встретятся со злом, которое решит обратить всю пользу дихотомии жизни драконов и людей в свою сторону. Охотник на драконов подчиняет все больше и больше огнедышащих созданий, что, конечно, никак не понравится юному и наивному Икингу. Кстати, очень хорошо, что в продолжении девушка главного героя все-таки обрела черты женственности и гуманности, чего совсем не было в первом фильме. Так что эти незатейливые полтора часа действительно расписаны гармонично, в целом так, как должен выглядеть любимый детский мультфильм. Единственное, чего возможно не хватило лично мне - это юмора. Уж слишком он «для любой зрительской аудитории»! А в прошлый раз было смешно! Только вот после просмотра остается какая-то недосказанность. Кстати, подобный эффект можно прочувствовать и во вторых «Голодных играх». Недаром режиссер Дин ДеБлуа согласился снимать еще и третью часть, так что думаю заключение трилогии скрасит эту легкую слабинку. В остальном - убедительно хорошо. Чему точно научит любого ребенка, а даже и всякого взрослого: доверять можно и нужно. А иногда довериться дракону и добиться его дружбы гораздо легче, чем найти понимание у близких и родных людей. 
-1--|||--kinopoisk.ru/user/1737020/comment/1751505/--|||--Я искренне удивляюсь людям, с восторгом принявшим этот фильм. Ибо в нём остались от романа Толстого только имена да канва сюжета. Наполнение же выражает предельно упрощённое понимание классического произведения. Допустим, я не ярый поклонник именно этого романа Толстого, но то, во что его превратили создатели фильма, заставляет меня метаться в сомнениях - смеяться или плакать? Первое, что бросается в глаза, - значительно обкромсали линию Левина. Понятно, «Анна Каренина» - непростое произведение, и недаром говорят, что она вмещает в себя два романа, но коли уж взялся за гуж... Да и сам Левин выглядит слишком уж карикатурно и вызывает смех и недоумение, а не сочувствие. А ведь Толстой не просто так ввёл эту линию в роман, она составляет исключительно важную часть идейного замысла. А что мы видим тут? Покосил с мужиками, полежал ночью на стоге с сеном и обрёл смысл жизни. Благодать! История Карениной в современной обработке тоже выглядит, мягко говоря, странно. Героиня превращается в ревнивую, капризную истеричку и в том же ослеплении ревности бросается под поезд. Почему? Зачем? У создателей фильма свои идеи на этот счёт, зачем им обращаться к Толстому. Подкачала и исполнительница главной роли: уже после 15 минут просмотра «обольстительная», однообразная улыбка Киры Найтли набила жуткую оскомину. Да и вообще единственным, кто смог достойно воплотить свой образ, стал Джуд Лоу. Возможно, его Каренин немного однозначнее, добрее, чем романный, но он вызывает уважение. И наконец, общая атмосфера. Ну вот не умеют иностранцы снимать фильмы о России, не умеют, и всё тут. Традиционный лубок, «Во поле берёза» с английским акцентом, шаблонные лица слуг сначала вызывают смех, а потом уже повергают в уныние. Поневоле начнёшь задумываться о нашей загадочной русской душе, неужели так сложно на достойном уровне изобразить русскую жизнь? Декорации я тоже не оценила, но это дело десятое, ведь здесь не в них основная проблема. Основная проблема в том, что, видимо, современный зритель привык поглощать с экранов кино предельно простые идеи, не утруждая себя умственно. Не давайте обмануть себя и под видом великих мыслей впарить вам предельно упрощённое понимание. Читайте классику! 
1--|||--kinopoisk.ru/user/828195/comment/1340028/--|||--В начале фильм показался мне затянутым, даже немного мутным, но на то она и биография, чтобы события развивались медленно, непринужденно, по своему сюжету, истории. Сама картина очень приятна в просмотре, не вызывает особую бурю чувств и рассчитан для любого зрителя. Просто поучительный фильм. Фильм про человека, который столкнулся с трудностями непосильными каждому и сумевшего их решить. Человека для которого вера и целеустремленность основа жизни. Который только с помощью своих сил смог добиться много, пройти через все. Так же приятно видеть взаимоотношения отца и сына, что столь редко в современном мире, где мужчины чаще бросают детей с матерями, нежели тут, когда отец взвалив на себя непосильную ношу, где ему предстоит прокормить себя, дак еще и маленького ребенка. И их связь, их совместная сила привела их к многому. По актерскому составу, скажу что Уилл Смит просто потрясающ, как всегда. ПС: Сцена в туалете даже вызвала непрошеную слезу. 
1--|||--kinopoisk.ru/user/10791/comment/251811/--|||--Вполне в духе одноименного сериала. Посмотреть можно только один раз. Немного надоедает и раздражает, что втечение всего фильма Скалли только и твердит своему бывшему напарнику одно и то же: «Малдер, остановись!» А тот в свою очередь твердит ей: «Верь и всё». Пожалуй, это единственные недостатки фильма, а так все в целом прекрасно, в принципе сюжет захватывает. Правда, я так и не понял, почему несколько раз показывали слово «Russia» в газетах, в которых рылась Скалли. Очередной намек на Холодную войну и, cобственно говоря, на то, что Россия - главный враг, это уже какой-то бред. Думаю, что фильм, конечно, больше подходит для любителей сериала, так как вряд ли стал бы смотреть это творение, не зная что такое вообще «Секретные материалы». Не считаю, что «Хочу верить» предназначен для просмотра в кино. Кстати, концовка не очень понравилась - банальна, мягко говоря. 
1--|||--kinopoisk.ru/user/1412660/comment/1252728/--|||--Я впервые решил написать рецензию на мультсериал. И начать я хотел бы с этого. «Южный парк» можно назвать самым скандальным мультиком в истории. Нецензурные выражения, мультяшная кровь, интереснейший сюжет, всеми этими словами можно охарактеризовать этот мультик. Не смотря на то, что он от начала и до конца наполнен различными пошлостями, но не знаю почему, но мне становится до слёз смешно при просмотре. Самые первые сезоны были очень плохо сделанными, но юмор не был хуже. Я думаю, что создатели каким-то образом склеили бумажки в мультфильм. Но уже к пятому сезону этот маленький недостаток убрали, и сериал стал на много лучше. Думаю юмору в этом мультсериале, нужно уделить отдельную часть рецензии. Люди ненавидят этот сериал именно из за юмора, якобы он слишком пошлый. Я тоже очень не люблю различную пошлость в фильмах и мультфильмах. Но данная работа высмеивает разные человеческие глупости, просто в нецензурной форме. Создатели мультфильма от души поиздевались над такими личностями как: Бритни Спирс, Дженнифер Лопез, Пэрис Хилтон, и этот список можно очень долго продолжать. Ну, это от части, правильно, всегда нужно как-то занизить самооценку этих возвышенных знаменитостей. Меня очень веселит то, что дети оказываются всегда умнее своих родителей. Из маленькой проблемки в этом городе может получиться огромная проблема, потому что каждый, кто хочет помочь обязательно усугубляет ситуацию. О смысле. Вот что касается смысла этого сериала, то мне здесь есть что сказать. Идея очень глубока. Мультфильм рассказывает нам об обществе, в котором мы живём, что собственно, так меняет этих маленьких ребят, вокруг которых крутится сюжет. Если бы в мультике было поменьше ненормативной лексики, то его можно было бы показывать детям. Почти в каждой серии в конце кто-нибудь из главных героев говорит: «Сегодня мы многое поняли». И потом, соответственно рассказывают, что они поняли. Благодаря этому, мультфильм превращается в очень поучительную историю. Немного о главных героях. Стэн самый обыкновенный парень в синей шапке, с богатым внутренним миром. Он мал, но на много умнее своих родителей. Кайл типичный еврей, хотя всегда это отрицает, но внутри души он такой, какой должен быть еврей. Эрик толстый, невоспитанный, не уважающий даже свою мать, унижающий всех своих друзей расист. Но все эти характеристики превращают его в самого смешного персонажа сериала. Кенни - мальчик-загадка, которого на протяжении всех серий не показывают. Его лицо всегда скрыто капюшоном. В этом парне самое смешное то, что где-то до шестого сезона он каждую серию различными способами погибал.  Если вы ненавидите этот мультсериал, по каким либо причинам, то вам надо копнуть глубже пошлостей, и увидеть глубочайший смысл «Южного парка». P.S. Одним словом мультик можно охарактеризовать цитатой Картмена. «Шикарно!»
